model,layer,probe,dataset_name,data_config,task,acc,class_accs,class_names
CLIP,layer_12,MLP,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
CLIP,layer_2,linear,RAVEN,center_single,Color,0.3285,"[0.2364, 0.7206, 0.2082, 0.1697]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_2,linear,RAVEN,center_single,Type,0.338,"[0.0, 0.0198, 0.9881]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_2,linear,RAVEN,center_single,Size,0.3975,"[0.0395, 0.5077, 0.5247, 0.5247]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_2,linear,RAVEN,in_center_single_out_center_single,Size_1,0.3805,"[0.0, 0.7223, 0.679, 0.125]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_2,linear,RAVEN,in_center_single_out_center_single,Type_1,0.342,"[0.9577, 0.0411, 0.0]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_2,linear,RAVEN,in_center_single_out_center_single,Type_0,0.433,"[0.1395, 0.5673, 0.5735]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_2,linear,RAVEN,in_center_single_out_center_single,Size_0,0.3975,"[0.1662, 0.0, 0.8457]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_2,linear,RAVEN,in_center_single_out_center_single,Color_1,0.306,"[0.0501, 0.4629, 0.3326, 0.3722]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_2,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
CLIP,layer_2,MLP,RAVEN,center_single,Color,0.392,"[0.1418, 0.5903, 0.7649, 0.1104]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_2,MLP,RAVEN,center_single,Type,0.412,"[0.2009, 0.5342, 0.5037]","['Constant', 'Progression', 'Distribute_Three']"
